" ",town,Title,Sprite,Description,Begin Objective,room,Obj A,room,Obj B,room,Obj C,room,Completion Obj,room,Chinese - Title,Chinese - Desc,Chinese - Start Obj,Chinese - Obj A,Chinese - Obj B,Chinese - Obj C,Chinese - Final Obj,Spanish - Title,Spanish - Desc,Spanish Star Obj,Spanish - Obj A,Spanish - Obj B,Spanish - Obj C,Spanish - Final Obj,French - Title,French - Desc,French - Start Obj,French - Obj A,French - Obj B,French - Obj C,French - Final Obj,Japanese - Title,Japanese - Desc,Japanese - Start Obj,Japanese - Obj A,Japanese - Obj B,Japanese - Obj C,Japanese - Final Obj,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
tutorial0,Spring Hamlet,Tutorial A,0,,Filler,r_kindergarden,,,,,,,Head towards Spring Hamlet.,r_springhamlet,Tutorial A,,Filler,,Squash the Rot blocking your way.,,Head towards Spring Hamlet.,Tutorial A,,Filler,,Squash the Rot blocking your way.,,Head towards Spring Hamlet.,Tutorial A,,Filler,,Squash the Rot blocking your way.,,Head towards Spring Hamlet.,Tutorial A,,Filler,,Squash the Rot blocking your way.,,Head towards Spring Hamlet.,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
tutorial1,Spring Hamlet,Tutorial B,0,,Retrieve your gift from Grannysmith.,r_springhamlet,Return to the Kindergarden.,r_kindergarden,Squash the Rot blocking your way.,r_riverway,,,,,Tutorial B,,Retrieve your gift from Grannysmith.,Return to the Kindergarden.,Talk to Elderberry.,,,Tutorial B,,Retrieve your gift from Grannysmith.,Return to the Kindergarden.,Talk to Elderberry.,,,Tutorial B,,Retrieve your gift from Grannysmith.,Return to the Kindergarden.,Talk to Elderberry.,,,Tutorial B,,Retrieve your gift from Grannysmith.,Return to the Kindergarden.,Talk to Elderberry.,,,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
tutorial2,Spring Hamlet,Intro Start,0,,Get situated in your new home.,r_thebend,,,Talk to Elderberry.,r_thebend,,,,,Intro Start,,Get situated in your new home.,,,,,Intro Start,,Get situated in your new home.,,,,,Intro Start,,Get situated in your new home.,,,,,Intro Start,,Get situated in your new home.,,,,,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
,,,,,,,,,,,,,,,,,,,Help Rana with Foraging.,,,,,,,Help Rana with Foraging.,,,,,,,Help Rana with Foraging.,,,,,,,Help Rana with Foraging.,,,,,,,,,,,,,,,,,
breather0,Spring Hamlet,A Quiet Beginning,0,"Рана говорит, что я должен подготовиться к первому рабочему дню исследуя Деревуню.",Talk to Rana,,Помогите Ране с просьбами,r_riverway,Help Rana with Foraging.,r_docks,Help Rana with the Rot.,r_bellrow,,,A Quiet Beginning,Rana says I should prepare for the first work day by exploring the Hamlet.,Talk to Rana,Help Rana with Maintenance.,Achieve Conflict Level 2 in Spring Hamlet,Help Rana with the Rot.,,A Quiet Beginning,Rana says I should prepare for the first work day by exploring the Hamlet.,Talk to Rana,Help Rana with Maintenance.,Achieve Conflict Level 2 in Spring Hamlet,Help Rana with the Rot.,,A Quiet Beginning,Rana says I should prepare for the first work day by exploring the Hamlet.,Talk to Rana,Help Rana with Maintenance.,Achieve Conflict Level 2 in Spring Hamlet,Help Rana with the Rot.,,A Quiet Beginning,Rana says I should prepare for the first work day by exploring the Hamlet.,Talk to Rana,Help Rana with Maintenance.,Achieve Conflict Level 2 in Spring Hamlet,Help Rana with the Rot.,,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
first_steps,Spring Hamlet,First Steps,0,The grieving villagers seek a new hope to cling to. Perhaps some basic work will restore some of the Hamlet's morale!,Talk to Rana,r_thebend,Complete 5 Requests.,,Achieve Conflict Level 2 in Spring Hamlet,,Break 10 resource nodes.,,Talk to Elderberry in the Day.,r_springhamlet,First Steps,The grieving villagers seek a new hope to cling to. Perhaps some basic work will restore some of the Hamlet's morale!,Talk to Rana,Complete 5 Requests.,Activate the Remote Power-nodes.,Break 10 resources.,Talk to Elderberry in the Day.,First Steps,The grieving villagers seek a new hope to cling to. Perhaps some basic work will restore some of the Hamlet's morale!,Talk to Rana,Complete 5 Requests.,Activate the Remote Power-nodes.,Break 10 resources.,Talk to Elderberry in the Day.,First Steps,The grieving villagers seek a new hope to cling to. Perhaps some basic work will restore some of the Hamlet's morale!,Talk to Rana,Complete 5 Requests.,Activate the Remote Power-nodes.,Break 10 resources.,Talk to Elderberry in the Day.,First Steps,The grieving villagers seek a new hope to cling to. Perhaps some basic work will restore some of the Hamlet's morale!,Talk to Rana,Complete 5 Requests.,Activate the Remote Power-nodes.,Break 10 resources.,Talk to Elderberry in the Day.,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
next_steps,Spring Hamlet,Next Steps,0,"Now that you've found your footing, we have some immediate issues that need resolving.",Talk to Elderberry in the Library.,r_springhamlet,Help Marsanne produce enough Dew for the Library.,r_springhamlet,Activate the Remote Power-nodes.,r_bellrow,Talk to Elderberry once the Library is fixed.,r_springhamlet,,,Next Steps,"Now that you've found your footing, we have some immediate issues that need resolving.",Talk to Elderberry in the Library.,Help Marsanne produce enough Dew for the Library.,Generate 4 books.,Talk to Elderberry once the Library is fixed.,,SPN Next Steps,"Now that you've found your footing, we have some immediate issues that need resolving.",Talk to Elderberry in the Library.,Help Marsanne produce enough Dew for the Library.,Generate 4 books.,Talk to Elderberry once the Library is fixed.,,SPN Next Steps,"Now that you've found your footing, we have some immediate issues that need resolving.",Talk to Elderberry in the Library.,Help Marsanne produce enough Dew for the Library.,Generate 4 books.,Talk to Elderberry once the Library is fixed.,,SPN Next Steps,"Now that you've found your footing, we have some immediate issues that need resolving.",Talk to Elderberry in the Library.,Help Marsanne produce enough Dew for the Library.,Generate 4 books.,Talk to Elderberry once the Library is fixed.,,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
archives_begin,Spring Hamlet,The Good Books,0,"With the Library functional, the Villagers yearn for the knowledge they once held.",Meet Hakurei in the Library.,r_springhamlet,,,Unlock 3 library Catalogues.,r_archive,,,Talk to Elderberry.,r_springhamlet,The Good Books,"With the Library functional, the Villagers yearn for the knowledge the once held.",Meet Hakurei in the Library.,,Bring the Lily Spores back to Elderberry.,,Talk to Elderberry.,The Good Books,"With the Library functional, the Villagers yearn for the knowledge the once held.",Meet Hakurei in the Library.,,Bring the Lily Spores back to Elderberry.,,Talk to Elderberry.,The Good Books,"With the Library functional, the Villagers yearn for the knowledge the once held.",Meet Hakurei in the Library.,,Bring the Lily Spores back to Elderberry.,,Talk to Elderberry.,The Good Books,"With the Library functional, the Villagers yearn for the knowledge the once held.",Meet Hakurei in the Library.,,Bring the Lily Spores back to Elderberry.,,Talk to Elderberry.,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
spr_dungeon1,Spring Hamlet,Hitting the Stacks,0,Something smells in the depths of the Library. Its presence is likely preventing our access to the Paperbark's knowledge.,Talk to Elderberry.,r_springhamlet,Descend to the 5th level of the Library's Stacks.,r_thestacks_a,Bring the Lily Spores back to Elderberry.,r_archive,,,,,Hitting the Stacks,Something smells in the depths of the Library. Its presence is likely preventing our access to the Paperbark's knowledge.,Talk to Elderberry.,Descend to the 5th level of the Library's Stacks.,Cross the Lily Path to the Summer Bar when you're ready.,,,Hitting the Stacks,Something smells in the depths of the Library. Its presence is likely preventing our access to the Paperbark's knowledge.,Talk to Elderberry.,Descend to the 5th level of the Library's Stacks.,Cross the Lily Path to the Summer Bar when you're ready.,,,Hitting the Stacks,Something smells in the depths of the Library. Its presence is likely preventing our access to the Paperbark's knowledge.,Talk to Elderberry.,Descend to the 5th level of the Library's Stacks.,Cross the Lily Path to the Summer Bar when you're ready.,,,Hitting the Stacks,Something smells in the depths of the Library. Its presence is likely preventing our access to the Paperbark's knowledge.,Talk to Elderberry.,Descend to the 5th level of the Library's Stacks.,Cross the Lily Path to the Summer Bar when you're ready.,,,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
