key,name,Req. Tool,Req. Room,prog_type,prog_count,tier,type,win,Ready?,reward,Description,Win Message,Loss Message,,Chinese - Name,Chinese - Description,Chinese - Win,Chinese - Lose,Spanish,Description,Win,Lose,French,Description,Win,Lose,Japanese,Description,Win,Lose,Portuguese,Description,Win,Lose,Korean,Description,Win,Lose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1c_rot,Проблемы с Гнилью,,r_treepath,group,4,1,conflict,15,Done,itm_leaf_2,Группа организованных гнилушек проникла за ворота в Тропе Деревьев и препятствует въезду в лес. Кто-то должен их убрать!,Группа гнилушек уничтожена!,Группа нанесла большой ущерб дороге.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1c_oozing,Слизь,,,count,7,1,conflict,15,Done,itm_leaf_2,Крупных выделений Слизи стало гораздо больше за последние дни. Нужно обезопасить Деревню! Побей 7 из них.,Количество гнили уменьшено!,"Деревенские слишком напуганы, чтобы работать.",,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1c_twigging,Вырубка,,r_testroom,group,3,2,conflict,15,Done,itm_leaf_3,Несколько Гнилых Корней проросли на Перекрестке. Не могли бы вы вырубить их?,Гнилые Корни больше не прорастут!,Стражам пришлось тратить свое время на вырезку корней.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_2c_bellrowroots,Корень Проблемы,,r_bellrow,group,3,2,conflict,25,Done,itm_leaf_4,"Зловонные корни проросли в Белл-Роу. Срежьте их, пока кто-нибудь не пострадал!",Гнилые Корни были отрезаны.,Гнилые Корни проросли и нанесли ущерб.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_3c_gruesome,Ужасное сборище,,r_bellrow,group,2,3,conflict,50,Testable,itm_leaf_4,"По ночам на Белл-Роу собирается толпа Желудей, кажется они собирают Слизь. Избавьтесь от них!",Белл-Роу избавлена от Желудей.,Поляне пришлось самой сражатсья с Желудями.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_3c_glomp,Лунное месиво,,r_testroom,count,1,3,conflict,50,Testable,itm_leaf_4,"Гломпы ночью на Перекрестке бегали по скалистым выступам. Нам нужно, чтобы кто-то выгнал хотя бы одного после захода солнца.",Гломпы больше не будут доставлять проблем.,Гломпы нанесли ущерб Перекрестку.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_3c_beach,Битва на пляже,,r_beachpit,group,4,3,conflict,50,Idea,itm_leaf_4,"Летний Бар просит помощи в очистке от Гнили, которая хочет пересечь Тропу Лилий в Бухте Ракушек",Просьба выполнена.,Просьба провалена.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_beachbridge,Береговой мост,,r_shellcove,single,1,1,maintenance,15,Done,itm_leaf_2,"Еще один мост был отключен. Нам нужен кто-то, кто войдет в Доки и активирует нужные узлы.",Мост в Бухту Ракушек был восстановлен!,Рабочие так и не смогли добраться до Бухты Ракушек,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_riverbulbs,Засорение Реки,inv_tool_pole,r_riverway,count,3,1,maintenance,15,Testable,itm_leaf_3,"Река была засорена группой Речных Луковиц. Нам нужно, чтобы кто-то выдернул из с помощью Лозоходца!",Река теперь течет свободно!,Производство Росы было остановлена забитой Рекой.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_riverbridge,Мост через Реку,,r_riverway,single,1,2,maintenance,25,Done,itm_leaf_3,Мост от Весенней Деревни до Реки отключен. Вы можете добраться до него через Поворот чтобы снова включить.,Мост был восстановлен!,Рабочие так и не смогли выбраться с Реки.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_fences,Ограждения Реки,inv_tool_hammer,r_riverway,group,3,2,maintenance,40,Done,itm_leaf_3,Несколько Слизней подняли шум и снесли ограждение Рект! Кто-то должен вбить колышки обратно молотком!,Ограждение восстановлено!,Стражам пришлось защищать Деревню от Гнили.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_2m_ac_wells,Источник,,r_thebend,single,1,2,maintenance,35,Testable,itm_leaf_3,"Скважины на Повороте вышли из строя из-за работ группы Сили. Они хотят, чтобы их починили с помощью какого-нибудь сока.",Доступ к Росе для деревенских восстановлен.,Группа Сили весь день была без Росы и это уничтожило урожай.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
